,,,,,MORPHOLOGY,,PASSIVE PROPERTIES (Figure 2),,,,,,,,ACTION POTENTIAL PROPERTIES (Figure 4),,,,,,,,,,,,,,,,,REPETITIVE FIRING PROPERTIES (Figure 5),,,,,,,,,,,,,VSAG (Figure 3),,,,,,,,,
Date,Age,Cell Type,Cell ID,,DIC image (Y/N),Soma area (px2),File Name ,Time ,RMP (mV),Ih(pA),Rs (M𝞨),Ri  (M𝞨),Cm (pF),,File Name ,Time/Timing,Onset rapidness,Step N# for 1st Spike ,Force (V),Ithresh (pA),Ithresh (pA/pF),RMP (mV),Vthresh(mV),Spike Height (mV),AHP Height (mV),AHP(V),AHP(mV),Peak Amplitude (mV),Half Height (mV),Spike Width (ms),,File Name ,Time ,Cm,Ith (pA),Rheobase (pA/pF),First AP Delay(s),First AP Delay(ms),Max No. Spikes,mean Interspike Intervals (ms) max spikes sweep ,ISI CV max spikes sweep,Max freq (Hz),Slope of I-O freq Curve until it rises,,File Name ,Time ,Ith(pA),Hold(mV),Peak (mV),Steady State(mV),Index ,Amplitude(mV),RB Firing (y/n),%cells with RB firing
200224,23,SN,200224_SN_1,,,,m200224a,5,-50,-80,7.7882,110.9276,78.19,,m200224b,0/1,32.2445,1,0.42,840,10.7430617726052,-61.5852,-38.6963,17.9749,28.198231,-0.66894531,-66.894531,56.6712,-10.3607,0.65,,m200224a,210,78.19,80,1.02314874024811,0.26073,260.73,4,0.12,0.48,127.9154802,23.744,,m200224b,165,120,-60.6687,-101.273,-76.4391,0.388392,40.6043,0,
200303,32,SN,200303_SN_1,,,,m200303c,75,-50,-20,10.0239,149.0810,62.92,,m200303c,150/182,21.1218,11,0.22,440,6.99300699300699,-59.8012,-40.2527,18.5242,31.890855,-0.72143555,-72.143555,58.7769,-10.86425,0.55,,m200303c,305,62.92,120,1.90718372536554,0.22157,221.57,5,0.02,0.77,61.73601679,2.921,,m200303c,450,100,-59.2642,-106.185,-87.0317,0.591795,46.9208,0,
200316,18,SN,200316_SN_1,,,,m200316a,50,-45,-80,14.9292,178.1838,60.54,,m200316a,135/152,27.062,6,0.12,240,3.96432111000991,-60.4158,-44.9677,28.9307,28.732251,-0.73699951,-73.699951,73.8984,-8.0185,0.6,,m200316a,220,60.54,40,0.660720185001652,0.35112,351.12,6,0.08,0.85,118.413,7.6742,,m200316b,180,120,-56.706,-100.71,-80.0783,0.53114,44.004,0,
200317,19,SN,200317_SN_2,,,,m200317b,0,-50,-13,11.3782,214.1699,42.84,,m200317b,120/142,23.811,9,0.18,360,8.40336134453782,-61.0823,-39.5966,23.1018,25.466877,-0.65063477,-65.063477,62.6984,-8.2474,0.75,,m200317b,200,42.84,40,0.933706816059757,0.21078,210.78,7,0.08,0.47,76.90335811,2.89,,m200317b,345,60,-56.8455,-106.105,-85.1379,0.574354,49.2595,0,
200318,20,SN,200318_SN_1,,,,m200318a,0,-43,-140,6.0787,100.9489,83.91,,m200318b,0/8,15.716,3,0.46,920,10.9641282326302,-60.0891,-34.0271,23.2086,29.342651,-0.63369751,-63.369751,57.2357,-5.40925,0.6,,m200318a,220,83.91,80,0.953402455011322,0.19258,192.58,5,0.1,0.42,66.97715211,3.514,,m200318b,205,140,-58.1645,-101.257,-78.5345,0.472704,43.0925,0,
200318,20,SN,200318_SN_4,,,,m200318i,0,-45,-60,8.2047,417.9591,44.45,,m200318i,110/136,12.7778,10,0.2,400,8.99887514060742,-60.6227,-38.6505,29.9988,21.026624,-0.59677124,-59.677124,68.6493,-4.32585,0.65,,m200318j,0,44.45,40,0.899887514060742,0.1165,116.5,9,0.06,0.19,41.876,1.2176,,m200318k,145,40,-61.491,-100.005,-76.9024,0.400151,38.514,1,7.69230769230769
191119,29,VTA,191119_VTA_4,,,,m191119s,0,-45,-60,9.5684,158.6060,68.08,,m191119s,150/178,16.7229,15,0.6,1200,17.6263219741481,-59.3391,-35.4156,28.8849,24.871876,-0.60287476,-60.287476,64.3005,-3.26535,0.8,,m191119s,240,68.08,120,1.76263219741481,0.34377,343.77,7,0.08,0.43,24.6633,1.05017,,m191119t,150,100,-57.858,-103.528,-81.6,0.52,45.67,0,
191219,26,VTA,191219_VTA_1,,,,m191219a,0,-38,-35,13.3916,321.5702,27.96,,m191219a,130/137,14.4971,4,0.16,320,11.444921316166,-57.3094,-30.3955,53.1158,31.906136,-0.62301636,-62.301636,83.5113,11.36015,0.95,,m191219a,170,27.96,120,4.29184549356223,0.48714,487.14,7,0.08,0.64,23.0468,0.888,,m191219a,330,40,-60.327,-110.151,-109.41,0.985,49.824,0,
191219,26,VTA,191219_VTA_2,,,,m191219b,0,-47,-40,10.4006,210.8623,47.42,,m191219b,90/133,7.6247,14,0.56,1120,23.618726275833,-59.283,-22.4457,37.7502,30.059793,-0.52505493,-52.505493,60.1959,7.65225,1.1,,m191219b,190,47.42,360,7.59173344580346,0.22766,227.66,3,0.06,,45.5685,1.986,,m191219c,150,100,-52.024,-107.049,-106.345,0.987,55.025,0,
191219,26,VTA,191219_VTA_3,,,,m191219f,25,-40,-40,7.9860,179.6491,56.56,,m191219f,145/175,18.4741,10,0.4,800,14.1442715700141,-58.9127,-40.1154,32.0129,27.160601,-0.67276001,-67.276001,72.1283,-4.05125,0.65,,m191219f,225,56.56,80,1.41442715700141,0.39677,396.77,4,0.11,0.74,26.3481,1.3271,,m191219g,160,100,-59.403,-107.515,-86.748,0.568,48.112,0,
